day_number,date,weekday,opportunity_id,title,franchise,primary_format,output_bundle,evidence_floor,rights_strategy,monetization_lane,publication_state,primary_publish_time_et,vertical_publish_time_et,success_metric
21,2026-09-18,Friday,OPP-0021,What 'Plays Best on PlayStation 5' Officially Means,launch_utility,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
22,2026-09-19,Saturday,OPP-0022,What Rockstar Has Said About Xbox Series X|S,launch_utility,web_article,1 article + 2 vertical explainers + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
23,2026-09-20,Sunday,OPP-0023,"GTA VI on PC: Announced Facts, Missing Facts, and Bad Assumptions",rumor_court,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
24,2026-09-21,Monday,OPP-0024,GTA VI Crossplay: Current Evidence State,rumor_court,search_answer,1 answer page + 1 vertical + 1 FAQ block,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
25,2026-09-22,Tuesday,OPP-0025,GTA VI Online: What Is and Is Not Official,rumor_court,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
26,2026-09-23,Wednesday,OPP-0026,The GTA VI Map Size Is Still Not Confirmed,rumor_court,vertical,1 vertical + 1 companion article + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
27,2026-09-24,Thursday,OPP-0027,Ten Major GTA VI Questions Rockstar Has Not Answered,ledger,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
28,2026-09-25,Friday,OPP-0028,How the ReMediaLHQ Claim Ladder Works,ledger,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,LAUNCH_NOW,12:15,18:45,qualified_viewer_value and contribution per production dollar
29,2026-09-26,Saturday,OPP-0029,Contextual Interaction Prompts in the Official Presentation,mechanics_lab,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
30,2026-09-27,Sunday,OPP-0030,The Dog Interaction Prompt: Observation vs Final Mechanic,mechanics_lab,vertical,1 vertical + 1 companion article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
31,2026-09-28,Monday,OPP-0031,What the Presentation Shows About Cover and Combat,mechanics_lab,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
32,2026-09-29,Tuesday,OPP-0032,Environmental Destruction: What We Can Safely Conclude,engine_room,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
33,2026-09-30,Wednesday,OPP-0033,Weapon Pickup and Inventory Signals in GTA VI,mechanics_lab,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
34,2026-10-01,Thursday,OPP-0034,Consumables and Living-Space Interactions,mechanics_lab,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
35,2026-10-02,Friday,OPP-0035,Safehouses: What Is Visible and What Is Still Unknown,mechanics_lab,web_article,1 article + 2 vertical explainers + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
36,2026-10-03,Saturday,OPP-0036,Convertible Roof Animation and Vehicle Interaction,engine_room,vertical,1 vertical + 1 companion article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
37,2026-10-04,Sunday,OPP-0037,The GTA VI Minimap and GPS: A Visual Systems Breakdown,mechanics_lab,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
38,2026-10-05,Monday,OPP-0038,"Crowd Density: Observation, Not a Final Performance Promise",engine_room,vertical,1 vertical + 1 companion article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
39,2026-10-06,Tuesday,OPP-0039,Store Robberies: What the Official Material Appears to Show,mechanics_lab,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
40,2026-10-07,Wednesday,OPP-0040,Masks and Disguises: UI Evidence and Open Questions,mechanics_lab,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
41,2026-10-08,Thursday,OPP-0041,In-World Social Media: Interface Evidence Explained,mechanics_lab,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
42,2026-10-09,Friday,OPP-0042,Every Recreational Activity Visible in Official Material,atlas,web_article,1 article + 2 vertical explainers + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
43,2026-10-10,Saturday,OPP-0043,Wanted-Level and Police-Pursuit Signals,mechanics_lab,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
44,2026-10-11,Sunday,OPP-0044,Drive-By Combat: What the Presentation Depicts,mechanics_lab,vertical,1 vertical + 1 companion article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
45,2026-10-12,Monday,OPP-0045,Vehicle Disposal and Police Evasion: Signal or Scripted Scene?,rumor_court,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,INFERRED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
46,2026-10-13,Tuesday,OPP-0046,The In-Game Message HUD: What Is Visible,mechanics_lab,vertical,1 vertical + 1 companion article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
47,2026-10-14,Wednesday,OPP-0047,Physical Weapon Carrying: Evidence for a Limited Inventory,rumor_court,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,INFERRED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
48,2026-10-15,Thursday,OPP-0048,Explaining the RAGE Engine Without Inventing Specs,engine_room,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
49,2026-10-16,Friday,OPP-0049,What Material Damage Reveals About World Simulation,engine_room,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
50,2026-10-17,Saturday,OPP-0050,NPC Density: How to Read a Curated Presentation Carefully,engine_room,vertical,1 vertical + 1 companion article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
51,2026-10-18,Sunday,OPP-0051,Lighting and Volumetrics: A Frame-Level Analysis,engine_room,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
52,2026-10-19,Monday,OPP-0052,"Water, Boats, and Swamp Traversal: Observable Systems",engine_room,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
53,2026-10-20,Tuesday,OPP-0053,Draw Distance: What a Presentation Can and Cannot Prove,engine_room,vertical,1 vertical + 1 companion article + 1 thread,INFERRED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
54,2026-10-21,Wednesday,OPP-0054,Animation Blending: Why GTA VI Looks Different,engine_room,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,INFERRED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
55,2026-10-22,Thursday,OPP-0055,Traffic and Pedestrian Behavior: Evidence vs Marketing Sequence,engine_room,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,OBSERVED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
56,2026-10-23,Friday,OPP-0056,Trailer 3 or Extended Look? Why Naming Matters,rumor_court,vertical,1 vertical + 1 companion article + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,LAUNCH_NOW,09:30,18:45,qualified_viewer_value and contribution per production dollar
57,2026-10-24,Saturday,OPP-0057,Our GTA VI Leak Taxonomy: Why We Do Not Repost Leaks,rumor_court,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,LAUNCH_NOW,12:15,18:45,qualified_viewer_value and contribution per production dollar
58,2026-10-25,Sunday,OPP-0058,The Community Map: Reproducible Evidence vs Speculation,rumor_court,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,REPORTED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
59,2026-10-26,Monday,OPP-0059,The Next Delay Rumor: A Repeatable Evidence Test,rumor_court,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,REPORTED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
60,2026-10-27,Tuesday,OPP-0060,PC Release Rumors: How to Score the Evidence,rumor_court,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,REPORTED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
61,2026-10-28,Wednesday,OPP-0061,"GTA VI at 60 FPS: Claims, Hardware, and Missing Evidence",rumor_court,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,INFERRED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
62,2026-10-29,Thursday,OPP-0062,The $100 Game Rumor: Source Chain or Telephone Game?,rumor_court,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,REPORTED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
63,2026-10-30,Friday,OPP-0063,GTA VI File-Size Rumors: Why Most Numbers Are Meaningless,rumor_court,vertical,1 vertical + 1 companion article + 1 thread,INFERRED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
64,2026-10-31,Saturday,OPP-0064,GTA VI Pre-Order Scam Detection Checklist,launch_utility,search_answer,1 answer page + 1 vertical + 1 FAQ block,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
65,2026-11-01,Sunday,OPP-0065,How to Detect a Fake GTA VI Screenshot,rumor_court,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
66,2026-11-02,Monday,OPP-0066,How to Detect Fake GTA VI Gameplay Without Reposting It,rumor_court,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
67,2026-11-03,Tuesday,OPP-0067,GTA VI Rumor Court: Weekly Case Docket,rumor_court,weekly_series,1 primary + 2 derivative assets,MIXED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
68,2026-11-04,Wednesday,OPP-0068,Which Console Should You Buy for GTA VI? Decision Framework,launch_utility,affiliate_article,1 primary + 2 derivative assets,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,affiliate,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
69,2026-11-05,Thursday,OPP-0069,How Much Storage Should You Reserve for GTA VI?,launch_utility,search_answer,1 answer page + 1 vertical + 1 FAQ block,PENDING,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,HOLD_UNTIL_EVIDENCE,09:30,18:45,qualified_viewer_value and contribution per production dollar
70,2026-11-06,Friday,OPP-0070,TV and Display Readiness for GTA VI,launch_utility,affiliate_article,1 primary + 2 derivative assets,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,affiliate,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
71,2026-11-07,Saturday,OPP-0071,Controllers and Headsets: A No-Nonsense GTA VI Setup Guide,launch_utility,affiliate_article,1 primary + 2 derivative assets,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,affiliate,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
72,2026-11-08,Sunday,OPP-0072,GTA VI Pre-Order Checklist,launch_utility,search_answer,1 answer page + 1 vertical + 1 FAQ block,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
73,2026-11-09,Monday,OPP-0073,How to Build a GTA VI Spoiler Shield Before Launch,launch_utility,search_answer,1 answer page + 1 vertical + 1 FAQ block,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
74,2026-11-10,Tuesday,OPP-0074,GTA VI Launch-Day Download and Update Checklist,launch_utility,search_answer,1 answer page + 1 vertical + 1 FAQ block,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
75,2026-11-11,Wednesday,OPP-0075,Age Rating and Family Controls: Official State Tracker,launch_utility,search_answer,1 answer page + 1 vertical + 1 FAQ block,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
76,2026-11-12,Thursday,OPP-0076,GTA VI Beginner Guide: Verified Answers Only,launch_utility,guide_hub,1 primary + 2 derivative assets,PENDING,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,HOLD_UNTIL_EVIDENCE,09:30,18:45,qualified_viewer_value and contribution per production dollar
77,2026-11-13,Friday,OPP-0077,GTA VI Money and Economy System,launch_utility,guide_hub,1 primary + 2 derivative assets,PENDING,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,HOLD_UNTIL_EVIDENCE,09:30,18:45,qualified_viewer_value and contribution per production dollar
78,2026-11-14,Saturday,OPP-0078,GTA VI Vehicle Location Database,launch_utility,database,1 primary + 2 derivative assets,PENDING,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,HOLD_UNTIL_EVIDENCE,09:30,18:45,qualified_viewer_value and contribution per production dollar
79,2026-11-15,Sunday,OPP-0079,GTA VI Weapon Location Database,launch_utility,database,1 primary + 2 derivative assets,PENDING,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,HOLD_UNTIL_EVIDENCE,09:30,18:45,qualified_viewer_value and contribution per production dollar
80,2026-11-16,Monday,OPP-0080,GTA VI Mission Decision Ledger,launch_utility,database,1 primary + 2 derivative assets,PENDING,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,HOLD_UNTIL_EVIDENCE,09:30,18:45,qualified_viewer_value and contribution per production dollar
81,2026-11-17,Tuesday,OPP-0081,GTA VI Collectibles and Completion Tracker,launch_utility,database,1 primary + 2 derivative assets,PENDING,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,HOLD_UNTIL_EVIDENCE,09:30,18:45,qualified_viewer_value and contribution per production dollar
82,2026-11-18,Wednesday,OPP-0082,GTA VI Patch and Update State Tracker,ledger,database,1 primary + 2 derivative assets,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
